Date,Open,High,Low,Close,Dol
05/11/2007,64049.03,64049.03,62720.43,62959.55,1.7489
06/11/2007,62967.1,64523.51,62967.1,64503.43,1.7355
07/11/2007,64503.43,64602.92,63222.55,63500.62,1.74
08/11/2007,63503.35,65282.55,63140.3,63561.91,1.7429
09/11/2007,63571.45,65281.09,62279.04,64320.56,1.7454
12/11/2007,64320.56,64320.56,61451.64,61526.87,1.7775
13/11/2007,61525.89,62932.68,61034.29,62927.03,1.766
14/11/2007,62918.68,64895.91,62918.68,64630.87,1.733
16/11/2007,64634.18,64801.7,63627.27,64609.38,1.7455
19/11/2007,64609.38,64609.38,62320.7,62336.02,1.7664
21/11/2007,62335.11,62335.11,59846.62,60581.54,1.7759
22/11/2007,60581.54,61101.71,60124.43,60653.01,1.7795
23/11/2007,60661.94,61334.35,60661.94,60970.9,1.8033
26/11/2007,60973.22,61559.6,59067.25,59069.17,1.8232
27/11/2007,59067.48,59971.23,58095.92,59431.5,1.8365
28/11/2007,59431.92,61857.99,59431.92,61714.64,1.794
29/11/2007,61719.68,63190.4,61465.2,62156.34,1.7935
30/11/2007,62157.1,63701.32,62157.1,63006.16,1.7924
03/12/2007,63018.43,63681.63,62729.47,63199.85,1.7929
04/12/2007,63202.76,63722,62372.56,63481.53,1.8088
05/12/2007,63482.96,65203.83,63482.96,64927.96,1.7964
06/12/2007,64929.09,65790.81,64691.82,65790.81,1.7748
07/12/2007,65789.02,66528.64,65278.28,65638.54,1.7591
10/12/2007,65642.23,65873.99,65227.91,65445.96,1.7657
11/12/2007,65448.2,66450.51,64127.46,64512.26,1.7571
12/12/2007,64512.42,66171.43,64502.06,64741.69,1.7728
13/12/2007,64735.3,64735.3,62466.29,62860.99,1.782
14/12/2007,62867.81,63454.75,62444.97,62444.97,1.7955
17/12/2007,62444.64,62444.64,59820.27,59828.21,1.813
18/12/2007,59832.24,61421.47,59414.24,61096.28,1.8125
19/12/2007,61107.88,61733.68,60914.75,61721.71,1.801
20/12/2007,61723.57,62466.67,61416.21,61716.2,1.804
21/12/2007,61725.4,63397.61,61725.4,63097.71,1.7926
26/12/2007,63100.57,64304.39,63100.57,64288.26,1.7711
27/12/2007,64287,64583.78,63589.81,63774.38,1.7602
28/12/2007,63776.07,64123.55,63598.17,63886.1,1.7761
02/01/2008,63884.68,63906.07,62658.66,62815.13,1.7712
03/01/2008,62814.32,63129.16,62555.62,62891.97,1.7521
04/01/2008,62898.15,63436.15,60574.03,61036.61,1.7547
07/01/2008,61054.2,61505.4,60091.6,60772.15,1.764
